high threshold,low threshold,cause 1,cause 2,cause 3
2.1,-3.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-3.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-2.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-2.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-1.5,PtdChos with prob 0.08238636363636363,Sauce 2 with prob 0.055161544523246654,Diglycerol with prob 0.042105263157894736
2.1,-1.0,PtdChos with prob 0.08333333333333333,Sauce 2 with prob 0.05831363278171789,Diglycerol with prob 0.042105263157894736
2.1,-0.5,PtdChos with prob 0.08806818181818182,Sauce 2 with prob 0.0591016548463357,Diglycerol with prob 0.046052631578947366
2.1,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
2.6,-10.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-9.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-9.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-8.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-8.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-7.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.037825059101654845,Diglycerol with prob 0.030263157894736843
2.6,-7.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-6.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-6.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-5.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-5.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-4.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-4.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-3.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-3.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-2.5,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-2.0,PtdChos with prob 0.05303030303030303,Sauce 2 with prob 0.038613081166272656,Diglycerol with prob 0.030263157894736843
2.6,-1.5,PtdChos with prob 0.05397727272727273,Sauce 2 with prob 0.039401103230890466,Diglycerol with prob 0.030263157894736843
2.6,-1.0,PtdChos with prob 0.054924242424242424,Sauce 2 with prob 0.0425531914893617,Diglycerol with prob 0.030263157894736843
2.6,-0.5,PtdChos with prob 0.05965909090909091,Sauce 2 with prob 0.04334121355397951,Diglycerol with prob 0.034210526315789476
2.6,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
3.1,-10.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-9.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-9.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-8.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-8.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-7.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029156816390858944,Diglycerol with prob 0.020394736842105264
3.1,-7.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-6.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-6.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-5.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-5.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-4.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-4.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-3.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-3.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-2.5,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-2.0,PtdChos with prob 0.038825757575757576,Sauce 2 with prob 0.029944838455476755,Diglycerol with prob 0.020394736842105264
3.1,-1.5,PtdChos with prob 0.03977272727272727,Sauce 2 with prob 0.030732860520094562,Diglycerol with prob 0.020394736842105264
3.1,-1.0,PtdChos with prob 0.04071969696969697,Sauce 2 with prob 0.0338849487785658,Diglycerol with prob 0.020394736842105264
3.1,-0.5,PtdChos with prob 0.045454545454545456,Sauce 2 with prob 0.03467297084318361,Diglycerol with prob 0.024342105263157894
3.1,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
3.6,-10.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-9.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-9.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-8.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-8.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-7.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018124507486209612,Diglycerol with prob 0.01381578947368421
3.6,-7.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-6.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-6.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-5.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-5.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-4.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-4.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-3.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-3.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-2.5,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-2.0,PtdChos with prob 0.026515151515151516,Sauce 2 with prob 0.018912529550827423,Diglycerol with prob 0.01381578947368421
3.6,-1.5,PtdChos with prob 0.027462121212121212,Sauce 2 with prob 0.019700551615445233,Diglycerol with prob 0.01381578947368421
3.6,-1.0,PtdChos with prob 0.028409090909090908,Sauce 2 with prob 0.022852639873916468,Diglycerol with prob 0.01381578947368421
3.6,-0.5,PtdChos with prob 0.03314393939393939,Sauce 2 with prob 0.02364066193853428,Diglycerol with prob 0.017763157894736842
3.6,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
4.1,-10.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-9.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-9.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-8.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-8.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-7.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01103230890464933,Diglycerol with prob 0.009868421052631578
4.1,-7.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-6.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-6.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-5.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-5.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-4.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-4.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-3.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-3.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-2.5,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-2.0,PtdChos with prob 0.017992424242424244,Sauce 2 with prob 0.01182033096926714,Diglycerol with prob 0.009868421052631578
4.1,-1.5,PtdChos with prob 0.01893939393939394,Sauce 2 with prob 0.01260835303388495,Diglycerol with prob 0.009868421052631578
4.1,-1.0,PtdChos with prob 0.019886363636363636,Sauce 2 with prob 0.015760441292356184,Diglycerol with prob 0.009868421052631578
4.1,-0.5,PtdChos with prob 0.02462121212121212,Sauce 2 with prob 0.016548463356973995,Sauce 1 with prob 0.014105419450631032
4.1,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
4.6,-10.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-9.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-9.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-8.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-8.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-7.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.006304176516942475
4.6,-7.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-6.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-6.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-5.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-5.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-4.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-4.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-3.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-3.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-2.5,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-2.0,PtdChos with prob 0.010416666666666666,Diglycerol with prob 0.007236842105263158,Sauce 2 with prob 0.0070921985815602835
4.6,-1.5,PtdChos with prob 0.011363636363636364,Sauce 2 with prob 0.007880220646178092,Diglycerol with prob 0.007236842105263158
4.6,-1.0,PtdChos with prob 0.01231060606060606,Sauce 2 with prob 0.01103230890464933,IMP with prob 0.007333333333333333
4.6,-0.5,PtdChos with prob 0.017045454545454544,Sauce 1 with prob 0.011878247958426132,PtdIns with prob 0.011850501367365542
4.6,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
5.1,-10.0,Diglycerol with prob 0.006578947368421052,Sauce 2 with prob 0.005516154452324665,IMP with prob 0.005333333333333333
5.1,-9.5,Diglycerol with prob 0.006578947368421052,Sauce 2 with prob 0.005516154452324665,IMP with prob 0.005333333333333333
5.1,-9.0,Diglycerol with prob 0.006578947368421052,IMP with prob 0.006,Sauce 2 with prob 0.005516154452324665
